"alpha^1_(0,0)","alpha^1_(0,1)","alpha^1_(0,2)","alpha^1_(0,3)","alpha^1_(0,4)","alpha^1_(1,0)","alpha^1_(1,1)","alpha^1_(1,2)","alpha^1_(1,3)","alpha^1_(2,0)","alpha^1_(2,1)","alpha^1_(3,0)","alpha^1_(3,1)","alpha^1_(4,0)","alpha^1_(2,2)","alpha^2_(0,0)","alpha^2_(0,1)","alpha^2_(0,2)","alpha^2_(0,3)","alpha^2_(0,4)","alpha^2_(1,0)","alpha^2_(1,1)","alpha^2_(1,2)","alpha^2_(1,3)","alpha^2_(2,0)","alpha^2_(2,1)","alpha^2_(3,0)","alpha^2_(3,1)","alpha^2_(4,0)","alpha^2_(2,2)","alpha^3_(0,0)","alpha^3_(0,1)","alpha^3_(1,0)","alpha^3_(1,1)","alpha^3_(2,0)","alpha^3_(2,1)","alpha^3_(3,0)","alpha^3_(3,1)","alpha^3_(4,0)","alpha^3_(0,2)","alpha^3_(0,3)","alpha^3_(0,4)","alpha^3_(1,2)","alpha^3_(1,3)","alpha^3_(2,2)","alpha^4_(0,0)","alpha^4_(0,1)","alpha^4_(0,2)","alpha^4_(0,3)","alpha^4_(0,4)","alpha^4_(1,0)","alpha^4_(1,1)","alpha^4_(1,2)","alpha^4_(1,3)","alpha^4_(2,0)","alpha^4_(2,1)","alpha^4_(3,0)","alpha^4_(3,1)","alpha^4_(4,0)","alpha^4_(2,2)","alpha^5_(0,0)","alpha^5_(0,1)","alpha^5_(0,2)","alpha^5_(0,3)","alpha^5_(0,4)","alpha^5_(1,0)","alpha^5_(1,1)","alpha^5_(1,2)","alpha^5_(1,3)","alpha^5_(2,0)","alpha^5_(2,1)","alpha^5_(2,2)","alpha^5_(3,0)","alpha^5_(3,1)","alpha^5_(4,0)","alpha^6_(0,0)","alpha^6_(0,1)","alpha^6_(0,2)","alpha^6_(1,0)","alpha^6_(1,1)","alpha^6_(1,2)","alpha^6_(1,3)","alpha^6_(2,0)","alpha^6_(2,1)","alpha^6_(3,0)","alpha^6_(3,1)","alpha^6_(4,0)","alpha^6_(0,3)","alpha^6_(0,4)","alpha^6_(2,2)","alpha^7_(0,0)","alpha^7_(0,1)","alpha^7_(0,2)","alpha^7_(0,3)","alpha^7_(0,4)","alpha^7_(1,0)","alpha^7_(1,1)","alpha^7_(1,2)","alpha^7_(1,3)","alpha^7_(2,0)","alpha^7_(2,1)","alpha^7_(2,2)","alpha^7_(3,0)","alpha^7_(3,1)","alpha^7_(4,0)","alpha^8_(0,0)","alpha^8_(0,1)","alpha^8_(0,2)","alpha^8_(0,3)","alpha^8_(0,4)","alpha^8_(1,0)","alpha^8_(1,1)","alpha^8_(1,2)","alpha^8_(1,3)","alpha^8_(2,0)","alpha^8_(2,1)","alpha^8_(2,2)","alpha^8_(3,0)","alpha^8_(3,1)","alpha^8_(4,0)","alpha^9_(0,1)","alpha^9_(1,0)","alpha^9_(0,0)","alpha^9_(0,2)","alpha^9_(0,3)","alpha^9_(0,4)","alpha^9_(1,1)","alpha^9_(1,2)","alpha^9_(1,3)","alpha^9_(2,0)","alpha^9_(2,1)","alpha^9_(2,2)","alpha^9_(3,0)","alpha^9_(3,1)","alpha^9_(4,0)"
0.11170802,-0.18237129,-0.031605132,-0.08371871,-0.06965761,-0.010853741,-0.1955322,-0.1952272,-0.19592369,0.15763733,0.45905066,-0.21047685,-0.052361887,-0.039886583,0.0648216,0.12989964,-0.103285395,0.0014053099,-0.05922825,-0.06965761,0.0058229007,-0.028776154,-0.12819767,-0.14694276,0.19457105,0.5239712,0.012865247,0.04314224,0.10140966,0.06683895,0.011821335,-0.3119765,0.31438377,0.5982392,0.1428296,0.16850206,-0.052057467,-0.084451854,-0.14101334,0.027053822,-0.03473779,-0.06965761,-0.21033882,-0.19592369,0.1285272,0.18349941,0.04088282,0.12976277,0.0013024304,0.09228331,0.05821393,0.103692904,0.2464854,0.04314224,0.03949159,0.08502491,-0.2039316,-0.039271414,-0.039886583,-0.21064688,0.1731361,0.0044159577,0.030047059,-0.0058879433,0.09228331,-0.0042561544,-0.028761495,0.0,0.028761495,0.025483882,0.0,-0.30475485,0.005674873,0.028761495,0.10140966,0.11359267,-0.022525195,0.16921556,0.123423465,0.059573203,-0.40429655,0.04314224,0.09249202,-0.022854589,-0.041500986,-0.06333889,-0.14101334,-0.013078317,0.09228331,-0.052835725,0.13099514,0.1695206,0.12322468,-0.12641327,0.18483356,-0.07176243,0.46345845,0.11211577,-0.087370075,0.059899274,0.045268137,-0.21276411,-0.19738637,-0.052361887,-0.039886583,0.15719193,0.025834793,0.0826505,-0.11549201,0.18483356,-0.018271085,0.007321149,0.031038955,-0.06552756,0.12470609,-0.24451135,-0.21262093,-0.0015155006,0.04314224,0.10140966,0.07590954,0.19533992,0.07379817,0.15413278,-0.10457075,0.18483356,-0.15659845,-0.1943629,-0.087370075,0.106379405,-0.053174015,-0.0477464,-0.030944506,-0.084451854,-0.14101334
-0.053925358,-0.1264828,-0.10867557,0.2014049,0.11878975,-0.53727883,-0.33485144,-0.40279645,0.14363341,-0.18561716,0.2018437,0.2002367,0.09288115,-0.22297528,0.09946932,0.053802583,-0.049371544,-0.02167711,0.18345071,0.11878975,-0.16813059,-0.21377409,-0.18036902,0.107725054,0.04868336,-0.0056646317,0.064957775,-0.18955494,-0.20119648,0.19633026,0.032797396,-0.04681512,0.012940172,-0.032693803,-0.24802984,-0.5195931,-0.0204362,0.09352932,0.043961275,-0.10854068,0.16549654,0.11878975,0.16176483,0.14363341,-0.14048319,-0.017296799,-0.031418186,-0.19371073,-0.03354486,0.16349041,-0.4367082,0.028051574,-0.2458672,-0.18955494,-0.23424937,0.032908484,0.18862656,0.069660865,-0.22297528,-0.043872297,0.076684795,0.0014642775,-0.11541102,-0.0019523706,0.16349041,-0.0724127,0.12636997,0.0,-0.12636997,0.066932425,0.0,0.13466325,0.09655027,-0.12636997,-0.20119648,0.050874833,0.011968663,-0.14238629,0.0767801,0.11768539,0.040569395,-0.18955494,-0.12516394,-0.12290691,-0.032127365,0.07014699,0.043961275,0.029640121,0.16349041,0.1614255,0.059421193,-0.33459952,0.18071273,-0.12331517,0.043300044,-0.038568243,-1.3492131,0.7254997,0.19165011,-0.20323186,-0.08750698,0.07288856,0.1770164,0.09288115,-0.22297528,0.06605258,-0.0055512898,0.043856118,-0.14727142,0.043300044,0.07252255,-0.40164042,0.34122598,0.14373758,-0.037457295,0.35022724,-0.14823236,0.12814276,-0.18955494,-0.20119648,-0.026669182,0.1741539,0.042671684,0.09818351,-0.1712277,0.043300044,-0.18187132,0.059585188,0.19165011,-0.12250517,-0.1463815,0.19773962,-0.04381853,0.09352932,0.043961275
0.28557584,0.17736135,0.080644615,-0.12924768,0.06495643,-0.16961563,-0.3297682,-0.47916147,-0.06720281,0.044538744,0.36467254,0.03676428,0.124048285,0.01852358,-0.02612278,0.31830013,0.27725318,0.17330676,-0.12084733,0.06495643,-0.09664089,-0.14776757,-0.22177254,-0.050402105,0.04730293,0.19467568,0.023459867,-0.14481354,0.04106659,0.11800646,0.2410635,0.26776618,0.1897834,-0.08910634,-0.16235301,0.11500916,-0.08848952,-0.14422965,0.047980707,0.108718894,-0.11244698,0.06495643,0.071167596,-0.06720281,-0.20952237,0.17874385,-0.1289265,0.095552444,0.15451728,-0.16813615,-0.050479405,0.15212175,-0.03073173,-0.14481354,-0.024630213,0.18569553,0.021258242,0.09303621,0.01852358,-0.10740095,0.18379967,-0.13398965,0.096846275,0.17865287,-0.16813615,-0.035696592,0.09654236,0.0,-0.09654236,-0.007755095,0.0,-0.0511128,0.047595456,-0.09654236,0.04106659,0.110473394,-0.10695383,0.09753021,0.22343388,-0.026576169,0.022820681,-0.14481354,-0.17541131,0.14390874,-0.07046081,-0.10817224,0.047980707,0.20278846,-0.16813615,-0.0994899,0.14172512,-0.011615297,0.13764785,-0.23492815,0.09618263,0.008318938,-0.09669485,0.25043496,-0.18226701,0.042688664,-0.109678164,0.21407096,0.0057522063,0.124048285,0.01852358,0.12598348,0.05926627,0.07091829,-0.21214476,0.09618263,-0.053618032,0.14612085,-0.007392276,-0.13670026,0.009134994,-0.042003933,-0.034665283,0.071731046,-0.14481354,0.04106659,0.078084156,0.20568952,0.05134115,0.09397842,-0.1893614,0.09618263,0.07249301,-0.0856136,-0.18226701,-0.15055777,0.029688261,0.029536854,-0.0524321,-0.14422965,0.047980707
-0.04968337,0.026404481,0.15187562,0.08429925,-0.22196758,0.11794212,0.24365106,0.081922576,-0.045489624,0.0863565,-0.021451518,0.10104047,-0.041258622,0.06345519,-0.06109634,-0.045488104,-0.020656586,0.12480846,0.08998546,-0.22196758,0.13488126,0.07962885,0.009408675,-0.034117218,0.0032314174,-0.22988687,-0.22484271,-0.17852904,-0.18742196,-0.09785551,0.05006092,-0.008619711,-0.09831428,0.16460717,-0.09637432,-0.5248063,0.07999828,-0.02489863,-0.06190114,0.1302303,0.09567166,-0.22196758,0.017203601,-0.045489624,-0.13513272,-0.07063518,-0.07341957,-0.003558999,0.038729012,-0.15473327,0.066852115,0.03793404,-0.19167116,-0.17852904,0.081765026,-0.029906191,0.1061978,-0.030943967,0.06345519,-0.059639804,-0.050369333,-0.051362887,0.055361405,0.06848385,-0.15473327,0.1463159,0.11901936,0.0,-0.11901936,0.07170576,0.0,0.08802092,-0.19508788,-0.11901936,-0.18742196,0.03833791,-0.060706686,0.05742331,-0.09658064,0.16660349,-0.05225806,-0.17852904,0.032190412,-0.10796575,0.0831106,-0.018673971,-0.06190114,0.09823869,-0.15473327,0.18428943,-0.029038973,-0.15091434,-0.028883621,-0.09404871,0.1665398,0.266023,-0.6315887,0.2881251,-0.053397633,0.06728755,0.057852384,-0.17724705,0.111355126,-0.041258622,0.06345519,-0.06207759,0.04782653,-0.098573774,-0.08737401,0.1665398,0.19004685,-0.0510391,0.12570752,-0.040048227,-0.028135099,0.35535294,-0.22332157,-0.16533303,-0.17852904,-0.18742196,0.0068545453,-0.06909247,0.03092446,-0.038894635,-0.0806993,0.1665398,0.094450764,-0.080470994,-0.053397633,-0.039022822,0.15144597,-0.049681067,0.08622293,-0.02489863,-0.06190114
-0.037498273,0.0006194692,-0.08722305,-0.108265996,-0.20559445,0.075142264,0.17404343,-0.32269555,0.106405504,0.24412942,0.85785294,-0.13691406,-0.0564627,-0.090517536,0.17075895,-0.037653662,-0.05168105,-0.038935803,-0.12156668,-0.20559445,-0.032799046,-0.25767255,-0.2529101,0.07980413,-0.022775924,0.1216729,-0.14062689,-0.22036262,0.108634375,0.11718074,-0.06974347,-0.28238168,0.097141474,0.7784893,-0.108881466,-1.0537188,-0.18631408,-0.16862142,0.018343145,-0.090529665,-0.13486737,-0.20559445,-0.0012915102,0.106405504,-0.17968097,0.003018747,0.10772918,-0.114585534,-0.09704859,0.13489626,0.11717981,0.40463752,-0.19304177,-0.22036262,0.066169456,0.31778657,-0.12985623,-0.042347025,-0.090517536,-0.19753392,0.0041233017,0.04524111,-0.066699445,-0.06032148,0.13489626,0.07792484,0.14690842,0.0,-0.14690842,-0.053568497,0.0,-0.002994746,-0.10389979,-0.14690842,0.108634375,0.010307342,-0.067034274,-0.009524159,0.014907364,0.582757,-0.22720373,-0.22036262,0.1009714,-0.43281677,-0.1652364,-0.12646607,0.018343145,-0.023594378,0.13489626,0.22271158,0.02937154,0.03960127,-0.16017255,0.075804405,0.09491687,0.23861468,-0.02143617,0.02315212,0.08006537,0.08343752,0.20863008,-0.048293196,-0.12279839,-0.0564627,-0.090517536,0.0044345954,0.065156184,-0.16083875,0.06579623,0.09491687,0.1300696,-0.02829481,0.038348693,0.060049027,-0.055879932,0.010743138,-0.015235295,-0.067172684,-0.22036262,0.108634375,0.072310895,0.15927584,-0.019832416,-0.19735183,0.055788063,0.09491687,0.016962843,0.17669654,0.08006537,0.043841373,-0.1342616,-0.14587867,-0.14415872,-0.16862142,0.018343145
0.06439939,0.25878575,0.017724108,0.0037300028,-0.21794213,0.71340775,1.1322341,0.3384465,-0.18576325,0.1970733,0.13449486,-0.013581856,0.03781813,0.0928691,0.21797657,-0.108856484,-0.032850046,-0.05514436,0.02695041,-0.21794213,0.09355569,0.19717188,0.077090085,-0.13932244,-0.40631622,-0.6191751,-0.073390044,-0.062359888,0.20008849,-0.01326235,-0.019588381,0.25375128,-0.22201258,-0.72553587,-0.117123336,-0.055044577,0.05709013,0.20739941,-0.12138682,-0.06441528,0.050170816,-0.21794213,0.09289786,-0.18576325,-0.0077942163,-0.030906111,-0.09972836,-0.35657185,0.111769915,0.15209651,0.38709173,0.021437049,-0.5161817,-0.062359888,0.17544712,0.02711977,-0.018309122,0.028363597,0.0928691,0.08973105,-0.11899613,-0.09162242,-0.17703371,0.12216323,0.15209651,0.047247548,0.04157326,0.0,-0.04157326,-0.20102969,0.0,0.4039418,-0.06299673,-0.04157326,0.20008849,-0.09796563,-0.015479609,-0.34068474,-0.04321007,-0.21891393,0.45263326,-0.062359888,-0.0709486,0.117841735,0.031165205,0.15554956,-0.12138682,0.13255654,0.15209651,0.1532795,0.023570795,-0.29212677,-0.09121335,0.011088526,-0.04041797,0.81402874,-1.4744122,0.7049806,0.063216,0.14566237,0.10730855,0.048492555,-0.023036389,0.03781813,0.0928691,-0.16865627,0.07963802,-0.21329711,0.0031865258,-0.04041797,0.16208744,-0.40073657,0.38076755,0.047412,-0.43090025,0.71751124,-0.11159847,-0.052603416,-0.062359888,0.20008849,-0.028298661,-0.10778126,-0.10031431,-0.18888734,-0.0047154743,-0.04041797,0.008448355,0.19340546,0.063216,-0.11308368,0.19600831,0.16548668,0.005240278,0.20739941,-0.12138682
0.24149904,0.15511039,-0.22041646,0.11231565,0.20066339,0.037471317,0.42319718,-0.5168144,-0.0337802,-0.044818588,0.43441033,-0.0009846464,-0.12158007,-0.036248676,0.103574984,0.1685753,-0.029777993,-0.13179907,0.11653817,0.20066339,-0.17509438,-0.30500087,-0.31744227,-0.025335148,-0.08758925,-0.20852233,0.14483677,0.02623988,-0.10726873,0.14784978,0.1394773,0.047161788,-0.069499664,-0.42457217,-0.0509681,-0.3242854,-0.06072797,0.12053308,-0.22181365,-0.15709789,0.120760694,0.20066339,-0.1597162,-0.0337802,-0.0664071,0.166496,-0.04167002,-0.30102122,0.1105964,0.14544918,-0.10186829,0.109513015,-0.55681443,0.02623988,-0.16217734,0.047684193,0.014212863,-0.091185056,-0.036248676,-0.2004423,0.14587234,-0.079667315,-0.13211994,0.10622309,0.14544918,-0.10534759,-0.017493254,0.0,0.017493254,-0.005760989,0.0,0.23758142,0.14046346,0.017493254,-0.10726873,0.0941024,-0.07663737,-0.2188485,0.04872914,-0.009199709,0.22812353,0.02623988,0.02993061,-0.06516012,-0.07579461,0.09039981,-0.22181365,0.10184978,0.14544918,0.12824859,0.16010776,-0.05086524,-0.14573517,0.053577006,-0.18588297,0.16607057,-0.78038937,0.072610065,0.18348974,-0.13212834,-0.021592405,-0.18208508,0.029410372,-0.12158007,-0.036248676,0.0764653,0.12592989,-0.14506203,0.03064079,-0.18588297,-0.039479136,-0.2487494,0.13897644,0.1376173,-0.13756293,0.40841705,-0.05204492,0.13609014,0.02623988,-0.10726873,0.031265818,0.012949269,0.052732088,-0.13926804,0.0077045723,-0.18588297,0.093697675,0.08682334,0.18348974,-0.005374944,0.055032607,0.029085355,-0.09086124,0.12053308,-0.22181365
0.014112087,0.061933964,-0.075986415,0.13706863,0.20395644,0.22954151,0.27075273,0.2768733,0.21368365,0.050444007,-0.262047,-0.020007588,0.16477917,-0.19431157,-0.09774635,-0.009172955,0.008573759,-0.117992386,0.11035818,0.20395644,0.0714003,0.13126014,0.2025043,0.16026273,-0.33460683,-0.5078866,-0.14639041,-0.19581157,0.20055722,-0.07846041,0.033276603,0.23391509,-0.08842293,-0.5983287,-0.07438152,0.055362538,-0.2641709,-0.20668535,-0.0053899246,-0.124184124,0.08364772,0.20395644,0.18592331,0.21368365,-0.020531444,-0.0034243653,-0.020224761,-0.28245497,-0.12532365,0.12835947,0.13251053,-0.18120947,-0.44367477,-0.19581157,0.09185603,-0.13747407,-0.040604986,0.123584375,-0.19431157,-0.014248569,0.0050819144,0.06951629,-0.13575077,-0.0926884,0.12835947,0.08531636,0.13054106,0.0,-0.13054106,-0.17184964,0.0,0.28628415,-0.113755144,-0.13054106,0.20055722,-0.018305222,0.09027605,-0.25808614,0.13201858,0.02506616,0.34619945,-0.19581157,-0.057928726,0.14014724,-0.23833525,-0.15501401,-0.0053899246,-0.060053132,0.12835947,0.08322675,0.095059745,-0.30359632,-0.16756907,0.1074242,-0.10545284,0.43112352,-1.0558946,-0.013794959,0.054265365,0.072844446,-0.0108535,-0.19144334,-0.06120238,0.16477917,-0.19431157,0.025924342,0.011811346,-0.14192225,0.10064103,-0.10545284,0.1532687,-0.114775866,0.13320449,0.040699024,-0.31499967,0.429458,-3.1800617e-05,-0.08111988,-0.19581157,0.20055722,-0.07112123,0.09564063,0.029439455,-0.14477266,0.093857855,-0.10545284,0.15829492,0.100215286,0.054265365,-0.09662733,0.22048368,0.0773483,-0.21249959,-0.20668535,-0.0053899246
-0.21085295,-0.27947775,-0.14459905,0.1418868,0.076474,-0.18677141,-0.24855202,-0.11376422,0.08047779,-0.022087751,-0.107753396,0.19546549,-0.06238785,0.17167032,-0.19450302,-0.14517435,-0.19678782,-0.12247317,0.13182709,0.076474,0.053806633,0.00028127432,-0.005076036,0.06035834,0.11106749,-0.010904796,-0.16105506,-0.20250425,-0.20022471,-0.06563013,-0.06740985,-0.118341796,-0.0872488,-0.23957361,-0.11748405,0.11549697,0.032058023,-0.12345639,0.2119666,-0.11006207,0.12176736,0.076474,-0.031151729,0.08047779,-0.06312316,-0.15118876,-0.020446781,0.14212278,0.022954807,-0.19065598,-0.04516774,0.22850992,0.1324538,-0.20250425,0.035126418,0.14279069,0.20326397,-0.046790887,0.17167032,0.077728465,-0.11747009,-0.04252914,0.10444888,0.056705516,-0.19065598,0.09547825,0.13500284,0.0,-0.13500284,0.109233245,0.0,-0.036483563,-0.12730435,-0.13500284,-0.20022471,-0.063953534,-0.034359634,0.095203936,0.023597974,0.09605207,0.05522155,-0.20250425,-0.1515175,0.024018198,0.04749007,-0.09259229,0.2119666,0.090456225,-0.19065598,-0.109946884,-0.12849073,-0.09292441,0.1449963,0.09676905,-0.13312636,0.028503712,-0.05238338,0.23257923,0.13144648,0.0206736,0.12709558,0.16692996,0.21106245,-0.06238785,0.17167032,-0.10461878,-0.07820428,0.09819512,0.08033824,-0.13312636,0.1608842,-0.08509943,0.06178685,0.09858486,0.1306125,-0.067275226,0.012549888,-0.09355363,-0.20250425,-0.20022471,-0.042153537,0.09556401,-0.06284863,0.10526414,0.06390743,-0.13312636,-0.10812282,0.008731868,0.13144648,-0.08711338,-0.20495535,0.090383776,0.06292212,-0.12345639,0.2119666
0.16280791,-0.12497848,0.037124135,-0.05444321,-0.092931874,-0.2619932,-1.0360112,-0.7871053,-0.082682855,-0.13384253,-0.25429672,-0.12097694,-0.07526691,0.13786775,-0.22070348,0.23578942,0.13742258,0.21479495,-0.04410785,-0.092931874,-0.012038887,-0.17432237,-0.21802247,-0.062012143,0.12631503,0.46272814,-0.03220626,0.011236014,0.10670864,0.20677888,0.13573079,-0.07813352,0.30228204,0.6059649,-0.09423439,-0.26963633,0.08871578,0.079264626,-0.16656691,0.15574078,-0.033772495,-0.092931874,0.021942053,-0.082682855,-0.036933497,0.2034225,-0.024321832,0.0722727,0.021468705,0.07371759,-0.0046876334,-0.061038777,0.18057676,0.011236014,-0.09331064,-0.100567415,-0.11156858,-0.056450184,0.13786775,-0.0753725,0.20952591,-0.014697026,0.0057994165,0.019596037,0.07371759,0.025559194,-0.007490676,0.0,0.007490676,-0.0106961075,0.0,-0.17063284,-0.034078926,0.007490676,0.10670864,0.16470636,-0.04420402,0.091783,0.143411,0.12446308,-0.25861794,0.011236014,-0.055245996,-0.17185844,0.078807704,0.05944847,-0.16656691,0.017723367,0.07371759,0.0026686927,0.20139998,-0.043344893,0.088062264,0.11675904,0.0045232046,-0.018661365,-0.08416495,0.35545582,-0.13422784,-0.064938724,-0.15540841,-0.07917815,-0.102160215,-0.07526691,0.13786775,0.2126343,-0.037272945,-0.0011544898,0.13353752,0.0045232046,0.025798783,-0.034553096,0.10724725,-0.10067088,0.01993826,-0.037221074,-0.21872818,-0.035951596,0.011236014,0.10670864,-0.053912386,0.15838072,0.16295166,0.069220856,0.150316,0.0045232046,0.070127554,-0.13709381,-0.13422784,-0.030601736,-0.2140389,-0.011547436,0.068899624,0.079264626,-0.16656691
